412 4 4     132.67948914       1.35068762       0.04260536
413 7 7     237.40937805      42.03421021       0.03311276
414 6 6     202.42501831      13.30409813       0.02500785
415 7 7     145.82978821      36.24781418       0.02233646
416 5 5     173.75007629      51.21805954       0.02697190
417 7 7     160.37997437      37.31283951       0.02403748
418 4 4     222.69386292      54.41126251       0.03755884
419 6 6     133.94859314       0.79427809       0.04147589
420 9 9     245.35722351      14.53151703       0.02952080
421 7 7     196.70771790       7.44405460       0.04592671
422 3 3     243.20805359      11.15978622       0.04246918
423 3 3     139.72714233      50.02072525       0.03430815
424 8 8     180.60533142      12.33772659       0.04052201
425 5 5     158.80465698      38.52508163       0.04302539
426 2 2     176.14381409      25.42144585       0.04592716
427 4 4     208.15599060      24.74884605       0.03027922
428 2 2     154.13867188      22.09110832       0.04122199
429 5 5     118.63430786      16.80908203       0.04641314
430 2 2     183.37197876      50.74158478       0.03075743
431 8 8     222.29086304      -2.29153895       0.04266351
432 7 7     222.73127747      -0.49237767       0.04258141
433 3 3     221.59057617      32.78020477       0.02906903
434 7 7     224.65773010       3.29130769       0.04361564
435 7 7     236.01527405       4.76946497       0.04157357
436 5 5     188.92510986      63.97380066       0.03610414
437 6 6     243.57058716      27.20897865       0.04608817
438 6 6     193.65081787      62.22908401       0.03784144
439 7 7     222.26026917      18.11122894       0.03988149
440 2 2     154.08538818       4.82200718       0.04580888
441 3 3     141.19142151      39.40224457       0.04597308
442 5 5     182.46270752      59.44807434       0.04431068
443 5 5     120.19871521      30.10735321       0.04593769
444 6 6     162.14201355      12.98298264       0.03585615
445 10 10     216.83329773      54.28897095       0.04373511
446 7 7     132.59492493      55.37882614       0.03075507
447 8 8     196.42309570      49.42160034       0.03417704
448 5 5     195.12680054      48.30846405       0.02898119
449 6 6     217.44859314      35.57430267       0.02833105
450 7 7     239.73249817       2.80942774       0.04677902
451 5 5     160.00239563      39.12222290       0.03086011
452 7 7     206.10404968      20.37302399       0.02693920
453 4 4     250.25032043      33.77305984       0.03117942
454 4 4     168.29335022      27.81822205       0.03124727
455 7 7     118.03263855      27.48390770       0.02680468
456 5 5     248.72671509      26.27477455       0.04413612
457 4 4     168.68063354       4.02453947       0.04167224
458 7 7     230.72860718      46.07530594       0.03704303
459 2 2     239.00672913      30.41740227       0.04677629
460 8 8     123.72177124      45.79200745       0.04023995
